mRNA	microRNA	lncRNA		R_high	pValue	R_low	pValue		pValue Condition	SCC Condition
TMSB15B	hsa-miR-29a-3p	TUG1		-0.374937482634065	0.00334936393254105	-0.167379827729925	0.200619210367286		p(R_low) > 0.05)	No (R_low > -0.4)
TMTC3	hsa-miR-29a-3p	TUG1		-0.290025006946374	0.0249324394393742	-0.412003334259517	0.00117592457009282		Satisfied	No (|R_low|-|R_high| < -0.4)
TMTC3	hsa-miR-29b-3p	TUG1		-0.394053903862184	0.00197966345427635	-0.421617115865518	0.000879712202695875		Satisfied	No (|R_low|-|R_high| < -0.4)
TMTC3	hsa-miR-29c-3p	TUG1		-0.191330925257016	0.14281768613325	-0.404223395387608	0.00147864254268148		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
ZNF519	hsa-miR-29a-3p	TUG1		-0.286968602389553	0.0265536681084126	-0.358210614059461	0.00518343528380264		Satisfied	No (R_low > -0.4)
CTHRC1	hsa-miR-30a-5p	TPT1-AS1		-0.35087524312309	0.00623581362049869	-0.446068352320089	0.000405257015182617		Satisfied	No (|R_low|-|R_high| < -0.4)
CTHRC1	hsa-miR-30d-5p	TPT1-AS1		-0.476410113920534	0.0001432362171749	-0.322811892192276	0.0121989483701974		Satisfied	No (R_low > -0.4)
E2F7	hsa-miR-30b-5p	TPT1-AS1		-0.520811336482356	2.6345160583991E-05	-0.159988885801612	0.221442737785561		p(R_low) > 0.05)	No (R_low > -0.4)
E2F7	hsa-miR-30d-5p	TPT1-AS1		-0.595332036676855	9.22495441589276E-07	-0.286079466518477	0.0270417213767806		Satisfied	No (R_low > -0.4)
N4BP2	hsa-miR-30c-5p	TPT1-AS1		-0.415448735759933	0.00106073762213081	-0.13525979438733	0.301960831907303		p(R_low) > 0.05)	No (R_low > -0.4)
PFN2	hsa-miR-30d-5p	TPT1-AS1		-0.335482078355099	0.00907352023430467	-0.22545151430953	0.0833548000672974		p(R_low) > 0.05)	No (R_low > -0.4)
PFN2	hsa-miR-30e-5p	TPT1-AS1		-0.29974993053626	0.0203210262551164	-0.215170880800222	0.0987167756109115		p(R_low) > 0.05)	No (R_low > -0.4)
SLC7A5	hsa-miR-30a-5p	TPT1-AS1		-0.18438455126424	0.158110203769099	-0.564267852181161	4.0433631993574E-06		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
SLC7A5	hsa-miR-30c-5p	TPT1-AS1		-0.310641844956933	0.0160409205815011	-0.434342873020283	0.000591674770713442		Satisfied	No (|R_low|-|R_high| < -0.4)
SLC7A5	hsa-miR-30d-5p	TPT1-AS1		-0.425062517365935	0.000791261134347042	-0.285245901639344	0.0275061385817471		Satisfied	No (R_low > -0.4)
STEAP1	hsa-miR-30d-5p	TPT1-AS1		-0.42267296471242	0.000851698000550054	-0.18638510697416	0.153586470275502		p(R_low) > 0.05)	No (R_low > -0.4)
C12orf76	hsa-miR-193a-3p	SNHG7		-0.467914252813325	0.000163343418425005	-0.330957640454841	0.00979754370032855		Satisfied	No (R_low > -0.4)
HOPX	hsa-miR-9-5p	SNHG7		-0.316754654070575	0.0139976909295924	-0.526646290636288	2.0749751003826E-05		Satisfied	No (|R_low|-|R_high| < -0.4)
LPCAT1	hsa-miR-193b-3p	SNHG7		-0.195998888580161	0.13318448450422	-0.440955821061406	0.000478704513437044		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
PNMA2	hsa-miR-425-5p	SNHG7		-0.357710475131981	0.00524984359246928	-0.296137816060017	0.0219407295987205		Satisfied	No (R_low > -0.4)
PNMA2	hsa-miR-9-5p	SNHG7		-0.198221728257849	0.12877425884823	-0.589385940539039	1.23497071580351E-06		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
SLC7A2	hsa-miR-224-5p	SNHG7		-0.376382328424562	0.00322211459231497	-0.340816893581551	0.00798306487011686		Satisfied	No (R_low > -0.4)
ARHGAP11A	hsa-miR-101-3p	SNHG6		-0.461850514031676	0.000238596785964534	-0.301528202278411	0.0195619047502872		Satisfied	No (R_low > -0.4)
ARHGAP11A	hsa-miR-26a-5p	SNHG6		-0.366268407891081	0.0042112869760809	-0.381050291747708	0.00283994055887474		Satisfied	No (R_low > -0.4)
BUB1	hsa-miR-26a-5p	SNHG6		-0.390886357321478	0.00216426839158384	-0.445679355376494	0.000410460692359896		Satisfied	No (|R_low|-|R_high| < -0.4)
C11orf82	hsa-miR-101-3p	SNHG6		-0.418727424284524	0.000960705997516302	-0.275076410113921	0.0337359909376625		Satisfied	No (R_low > -0.4)
C11orf82	hsa-miR-26a-5p	SNHG6		-0.417393720477911	0.00100031752787457	-0.498582939705474	6.31565377109734E-05		Satisfied	No (R_high < -0.4)
CCNE2	hsa-miR-101-3p	SNHG6		-0.399110864128925	0.00171410521096806	-0.254296392027765	0.0499142099194413		Satisfied	No (R_low > -0.4)
CCNE2	hsa-miR-26a-5p	SNHG6		-0.305362600722423	0.0180072323127037	-0.265438530708177	0.0403883275646853		Satisfied	No (R_low > -0.4)
CDC6	hsa-miR-26a-5p	SNHG6		-0.578494026118366	2.08458730941485E-06	-0.556321200333426	5.79262777438525E-06		Satisfied	No (R_high < -0.4)
CDK1	hsa-miR-101-3p	SNHG6		-0.490803000833565	8.46767264894002E-05	-0.277354820783551	0.0322461574499175		Satisfied	No (R_low > -0.4)
CDK1	hsa-miR-26a-5p	SNHG6		-0.515643234231731	3.24434582959326E-05	-0.411225340372326	0.00120345013028833		Satisfied	No (R_high < -0.4)
CDKN3	hsa-miR-26a-5p	SNHG6		-0.347707696582384	0.00674563376473748	-0.415004167824396	0.0010750033330543		Satisfied	No (|R_low|-|R_high| < -0.4)
CEP55	hsa-miR-101-3p	SNHG6		-0.490691858849681	8.50281948264694E-05	-0.380050013892748	0.00291824412347962		Satisfied	No (R_low > -0.4)
CEP55	hsa-miR-26a-5p	SNHG6		-0.357321478188386	0.00530201344471232	-0.39899972214504	0.00171957889868034		Satisfied	No (R_low > -0.4)
CKS2	hsa-miR-26a-5p	SNHG6		-0.360989163656571	0.00482785403857831	-0.438844123367602	0.000512435824161329		Satisfied	No (|R_low|-|R_high| < -0.4)
DDX12	hsa-miR-101-3p	SNHG6		-0.662850791886635	2.15195245516017E-08	-0.201611558766324	0.122263982374078		p(R_low) > 0.05)	No (R_low > -0.4)
DEPDC1	hsa-miR-26a-5p	SNHG6		-0.467407613225896	0.000196862103747031	-0.419338705195888	0.000943030061359432		Satisfied	No (R_high < -0.4)
DEPDC1B	hsa-miR-101-3p	SNHG6		-0.414559599888858	0.00108944237435589	-0.28085579327591	0.0300647465881291		Satisfied	No (R_low > -0.4)
DEPDC1B	hsa-miR-26a-5p	SNHG6		-0.334092803556544	0.00937802479545922	-0.296526813003612	0.0217611736905111		Satisfied	No (R_low > -0.4)
DNA2	hsa-miR-26a-5p	SNHG6		-0.559266462906363	5.07448786370103E-06	-0.381772714642956	0.00278456095937458		Satisfied	No (R_low > -0.4)
DNMT3B	hsa-miR-26a-5p	SNHG6		-0.468630175048625	0.000188631229877587	-0.347207557654904	0.00682939763505093		Satisfied	No (R_low > -0.4)
ERCC6L	hsa-miR-26a-5p	SNHG6		-0.447513198110586	0.000386452123270552	-0.400555709919422	0.00164435989128324		Satisfied	No (R_high < -0.4)
EZH2	hsa-miR-101-3p	SNHG6		-0.514198388441234	3.43694507637825E-05	-0.359076953034834	0.00483965885833631		Satisfied	No (R_low > -0.4)
EZH2	hsa-miR-26a-5p	SNHG6		-0.495248680188942	7.16704311141261E-05	-0.437127495561712	0.000479038521652327		Satisfied	No (R_high < -0.4)
FGD1	hsa-miR-26a-5p	SNHG6		-0.438232842456238	0.000522596624873326	-0.283356487913309	0.0285838185342222		Satisfied	No (R_low > -0.4)
GINS4	hsa-miR-26a-5p	SNHG6		-0.333425951653237	0.00952733083587289	-0.386051681022506	0.00247588431185353		Satisfied	No (R_low > -0.4)
KIF18A	hsa-miR-26a-5p	SNHG6		-0.346818560711309	0.0068951784613286	-0.481133648235621	0.000120825895385414		Satisfied	No (|R_low|-|R_high| < -0.4)
KPNA2	hsa-miR-26a-5p	SNHG6		-0.489858293970547	8.7707471690483E-05	-0.495415393164768	7.12207055218645E-05		Satisfied	No (R_high < -0.4)
LOC642846	hsa-miR-101-3p	SNHG6		-0.625507085301473	1.96273658593607E-07	-0.0918588496804668	0.484147549371354		p(R_low) > 0.05)	No (R_low > -0.4)
MAD2L1	hsa-miR-101-3p	SNHG6		-0.445290358432898	0.000415725309384919	-0.262406223951098	0.0431109993167896		Satisfied	No (R_low > -0.4)
MAD2L1	hsa-miR-26a-5p	SNHG6		-0.45918310641845	0.000261383907965352	-0.384106696304529	0.00261217731018744		Satisfied	No (R_low > -0.4)
NUP210	hsa-miR-26b-5p	SNHG6		-0.429397054737427	0.000691473029701682	0.00477910530702973	0.971168722788201		p(R_low) > 0.05)	No (R_low > -0.4)
PSMC3IP	hsa-miR-26a-5p	SNHG6		-0.584162267296471	1.59023027397241E-06	-0.446012781328147	0.000405996690657982		Satisfied	No (R_high < -0.4)
RAD51AP1	hsa-miR-26a-5p	SNHG6		-0.342595165323701	0.00764603824674769	-0.400777993887191	0.00163385958951729		Satisfied	No (|R_low|-|R_high| < -0.4)
TOP2A	hsa-miR-101-3p	SNHG6		-0.508141150319533	4.36580241488756E-05	-0.183217560433454	0.160794319272445		p(R_low) > 0.05)	No (R_low > -0.4)
TOP2A	hsa-miR-26a-5p	SNHG6		-0.499972214504029	5.98935841491905E-05	-0.412503473186996	0.00115853132288366		Satisfied	No (R_high < -0.4)
TPX2	hsa-miR-26a-5p	SNHG6		-0.390608502361767	0.00218117601797582	-0.437121422617394	0.000541542328669408		Satisfied	No (|R_low|-|R_high| < -0.4)
TTK	hsa-miR-26a-5p	SNHG6		-0.433564879133093	0.000606449594545467	-0.389497082522923	0.00224999726674855		Satisfied	No (R_low > -0.4)
LOC399815	hsa-miR-135b-5p	SNHG3		-0.36776882467352	0.00404931654307185	-0.427896637954988	0.000724640798658434		Satisfied	No (|R_low|-|R_high| < -0.4)
ATAD2	hsa-let-7b-5p	SNHG16		-0.42895248680189	0.000701153715026943	-0.301583773270353	0.0195385785301964		Satisfied	No (R_low > -0.4)
ATAD5	hsa-miR-195-5p	SNHG16		-0.409724923589886	0.00125818467730726	-0.226896360100028	0.0813569633405081		p(R_low) > 0.05)	No (R_low > -0.4)
ATAD5	hsa-miR-497-5p	SNHG16		-0.477521533759378	0.000137643453781509	-0.210891914420672	0.105729216707943		p(R_low) > 0.05)	No (R_low > -0.4)
ATE1	hsa-miR-15a-5p	SNHG16		-0.265518199499861	0.0406288729742792	-0.293359266462906	0.0232603573994875		Satisfied	No (R_low > -0.4)
AURKA	hsa-let-7b-5p	SNHG16		-0.414170602945263	0.00110222017872182	-0.242456237843846	0.0621685837884879		p(R_low) > 0.05)	No (R_low > -0.4)
AURKA	hsa-let-7c-5p	SNHG16		-0.202500694637399	0.120598836728896	-0.484801333703807	0.000105704977675369		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
AURKB	hsa-let-7a-5p	SNHG16		-0.407946651847736	0.00132595974106332	-0.245734926368436	0.0586354947002195		p(R_low) > 0.05)	No (R_low > -0.4)
AURKB	hsa-let-7b-5p	SNHG16		-0.48741317032509	9.60230468700656E-05	-0.287357599333148	0.0263425002413575		Satisfied	No (R_low > -0.4)
AURKB	hsa-let-7c-5p	SNHG16		-0.151986662961934	0.245650519826171	-0.391719922200611	0.00211424848629789		p(R_high) > 0.05)	No (R_low > -0.4)
AVL9	hsa-miR-195-5p	SNHG16		-0.160600166712976	0.219665016225928	-0.537871631008614	1.29631816687874E-05		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
C12orf48	hsa-let-7b-5p	SNHG16		-0.480522367324257	0.00012353177243734	-0.203000833564879	0.119669868215778		p(R_low) > 0.05)	No (R_low > -0.4)
C12orf48	hsa-let-7c-5p	SNHG16		-0.201722700750208	0.122054881266348	-0.454792998055015	0.000303267325430124		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
C15orf42	hsa-let-7b-5p	SNHG16		-0.4549041400389	0.00030213529637226	-0.252570158377327	0.0517945504281009		p(R_low) > 0.05)	No (R_low > -0.4)
C15orf42	hsa-miR-195-5p	SNHG16		-0.347707696582384	0.00674563376473748	-0.267129758266185	0.0393908673120227		Satisfied	No (R_low > -0.4)
C15orf42	hsa-miR-497-5p	SNHG16		-0.420839121978327	0.000900885909349147	-0.317699360933593	0.0137028984865527		Satisfied	No (R_low > -0.4)
C17orf53	hsa-let-7a-5p	SNHG16		-0.330758544040011	0.010145504754533	-0.298249513753821	0.0209809770848432		Satisfied	No (R_low > -0.4)
C17orf53	hsa-let-7b-5p	SNHG16		-0.507196443456516	4.53009517204244E-05	-0.255237565990553	0.0493089408002652		Satisfied	No (R_low > -0.4)
C17orf53	hsa-let-7c-5p	SNHG16		-0.258127257571548	0.0467277209303556	-0.385773826062795	0.00249495661654516		Satisfied	No (R_low > -0.4)
CCNB1	hsa-miR-195-5p	SNHG16		-0.250903028619061	0.0533995646968621	-0.186829674909697	0.15259442746504		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
CCNB1	hsa-miR-497-5p	SNHG16		-0.360266740761323	0.00491816320408663	-0.379494303973326	0.00296257415654857		Satisfied	No (R_low > -0.4)
CDC25A	hsa-let-7b-5p	SNHG16		-0.376048902472909	0.00325109094078816	-0.253070297304807	0.0513208321567319		p(R_low) > 0.05)	No (R_low > -0.4)
CDC25A	hsa-let-7c-5p	SNHG16		-0.140094470686302	0.28488399714851	-0.377271464295638	0.00314596691191513		p(R_high) > 0.05)	No (R_low > -0.4)
CDC25A	hsa-miR-195-5p	SNHG16		-0.324701305918311	0.0116805626638554	-0.17254792998055	0.186916071740599		p(R_low) > 0.05)	No (R_low > -0.4)
CDC25A	hsa-miR-497-5p	SNHG16		-0.388274520700195	0.00232794329504332	-0.327646568491248	0.0109106479573825		Satisfied	No (R_low > -0.4)
CDCA8	hsa-let-7b-5p	SNHG16		-0.498527368713532	6.32904152006298E-05	-0.204834676298972	0.116310598119259		p(R_low) > 0.05)	No (R_low > -0.4)
CDCA8	hsa-let-7c-5p	SNHG16		-0.185051403167547	0.156591433996359	-0.360489024729092	0.00489021779214878		p(R_high) > 0.05)	No (R_low > -0.4)
CEP55	hsa-let-7b-5p	SNHG16		-0.444456793553765	0.000427214812605741	-0.213948318977494	0.100682121462798		p(R_low) > 0.05)	No (R_low > -0.4)
CEP55	hsa-let-7c-5p	SNHG16		-0.223895526535149	0.0855496618925536	-0.423284245623784	0.000835851467438543		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
CEP55	hsa-miR-497-5p	SNHG16		-0.306751875520978	0.0174707234483081	-0.361878299527647	0.00471872232514851		Satisfied	No (R_low > -0.4)
CHAC2	hsa-let-7b-5p	SNHG16		-0.352153375937761	0.00603991172478042	-0.12292303417616	0.34850011506076		p(R_low) > 0.05)	No (R_low > -0.4)
CHEK1	hsa-let-7b-5p	SNHG16		-0.452848013337038	0.000323716842151282	-0.284745762711864	0.0277880104502579		Satisfied	No (R_low > -0.4)
CHEK1	hsa-miR-195-5p	SNHG16		-0.402667407613226	0.00154701498041492	-0.198388441233676	0.128448030610367		p(R_low) > 0.05)	No (R_low > -0.4)
CHEK1	hsa-miR-497-5p	SNHG16		-0.436732425673798	0.000548319721414791	-0.347207557654904	0.00682939763505093		Satisfied	No (R_low > -0.4)
DNA2	hsa-let-7a-5p	SNHG16		-0.460183384273409	0.000252614777824194	-0.186107252014448	0.154208933073578		p(R_low) > 0.05)	No (R_low > -0.4)
DNA2	hsa-let-7b-5p	SNHG16		-0.511919977771603	3.76235792798083E-05	-0.123200889135871	0.347405154397664		p(R_low) > 0.05)	No (R_low > -0.4)
DNA2	hsa-let-7c-5p	SNHG16		-0.420005557099194	0.000924083650738639	-0.246790775215338	0.0575331377378148		p(R_low) > 0.05)	No (R_low > -0.4)
DTL	hsa-let-7b-5p	SNHG16		-0.392720200055571	0.00205559521897415	-0.190052792442345	0.145544588619684		p(R_low) > 0.05)	No (R_low > -0.4)
DTL	hsa-miR-200a-3p	SNHG16		-0.398610725201445	0.00173886085116896	-0.267907752153376	0.0388045340573977		Satisfied	No (R_low > -0.4)
E2F7	hsa-let-7b-5p	SNHG16		-0.438455126424007	0.000518880740132341	-0.240511253125868	0.0643447726782135		p(R_low) > 0.05)	No (R_low > -0.4)
E2F7	hsa-miR-195-5p	SNHG16		-0.293803834398444	0.0230447887767011	-0.345929424840233	0.00704763089529463		Satisfied	No (R_low > -0.4)
E2F7	hsa-miR-497-5p	SNHG16		-0.454126146151709	0.000310141422411922	-0.269686023895527	0.0374915817575788		Satisfied	No (R_low > -0.4)
ESPL1	hsa-let-7a-5p	SNHG16		-0.396387885523757	0.00185282176885033	-0.240566824117811	0.0642817519394111		p(R_low) > 0.05)	No (R_low > -0.4)
ESPL1	hsa-let-7b-5p	SNHG16		-0.492025562656294	8.08981535053602E-05	-0.320978049458183	0.0127210595265916		Satisfied	No (R_low > -0.4)
ESPL1	hsa-let-7c-5p	SNHG16		-0.272520144484579	0.035475723218871	-0.386718532925813	0.00243064221372432		Satisfied	No (R_low > -0.4)
FNIP2	hsa-miR-106a-5p	SNHG16		-0.369213670464018	0.0038985996839729	-0.375771047513198	0.00327541511752794		Satisfied	No (R_low > -0.4)
FNIP2	hsa-miR-106b-5p	SNHG16		-0.409836065573771	0.00125405448346642	-0.40905807168658	0.00128322482834901		Satisfied	No (R_high < -0.4)
FNIP2	hsa-miR-17-5p	SNHG16		-0.34937482634065	0.00647291257436681	-0.346874131703251	0.0068857472175837		Satisfied	No (R_low > -0.4)
GSTCD	hsa-miR-497-5p	SNHG16		-0.270352875798833	0.0370088699816171	0.039899972214504	0.76159256170214		p(R_low) > 0.05)	No (R_low > -0.4)
HELLS	hsa-miR-195-5p	SNHG16		-0.369380383439844	0.00388153422744854	-0.241344818005001	0.0634046928772959		p(R_low) > 0.05)	No (R_low > -0.4)
HELLS	hsa-miR-497-5p	SNHG16		-0.524868018894137	2.23250932662961E-05	-0.287579883300917	0.0262224723071488		Satisfied	No (R_low > -0.4)
HMGA1	hsa-let-7b-5p	SNHG16		-0.406279522089469	0.00139247293522685	-0.285468185607113	0.0273816398501497		Satisfied	No (R_low > -0.4)
HMGA1	hsa-miR-195-5p	SNHG16		-0.144262295081967	0.270686742213015	-0.396665740483468	0.00183821876152235		p(R_high) > 0.05)	No (R_low > -0.4)
IL6ST	hsa-miR-106a-5p	SNHG16		-0.368546818560711	0.00396753033371055	-0.345818282856349	0.00706689424786306		Satisfied	No (R_low > -0.4)
IL6ST	hsa-miR-106b-5p	SNHG16		-0.482189497082523	0.000116280403095409	-0.36699083078633	0.00413259693773189		Satisfied	No (R_low > -0.4)
IQGAP3	hsa-let-7c-5p	SNHG16		-0.185551542095026	0.155459492740394	-0.373159210891915	0.00351211371190568		p(R_high) > 0.05)	No (R_low > -0.4)
IQGAP3	hsa-miR-195-5p	SNHG16		-0.268630175048625	0.0382666039231336	-0.190219505418172	0.14518670607885		p(R_low) > 0.05)	No (R_low > -0.4)
KIF11	hsa-let-7b-5p	SNHG16		-0.440011114198389	0.000493536299911449	-0.264795776604612	0.041194238435736		Satisfied	No (R_low > -0.4)
KIF11	hsa-let-7c-5p	SNHG16		-0.235898860794665	0.0697522502422713	-0.415671019727702	0.00105366919030614		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
KIF14	hsa-let-7b-5p	SNHG16		-0.503195332036677	5.29152524190961E-05	-0.235621005834954	0.0700893336136907		p(R_low) > 0.05)	No (R_low > -0.4)
KIF14	hsa-let-7c-5p	SNHG16		-0.234176160044457	0.0718633400230819	-0.437010280633509	0.000543470898473472		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
KIF18B	hsa-miR-195-5p	SNHG16		-0.378160600166713	0.00307142851702601	-0.263962211725479	0.0418546805115537		Satisfied	No (R_low > -0.4)
